SNO,NAME OF COMPANY,SYMBOL
538,Gujarat Sidhee Cement Limited,GSCLCEMENT
539,Gujarat State Fertilizers & Chemicals Limited,GSFC
540,GlaxoSmithKline Consumer Healthcare Limited,GSKCONS
541,Gujarat State Petronet Limited,GSPL
542,GSS Infotech Limited,GSS
543,GTL Limited,GTL
544,GTL Infrastructure Limited,GTLINFRA
545,GTN Industries Limited,GTNIND
546,GTN Textiles Limited,GTNTEX
547,GTPL Hathway Limited,GTPL
548,Gufic Biosciences Limited,GUFICBIO
549,Gujarat Alkalies and Chemicals Limited,GUJALKALI
550,Gujarat Apollo Industries Limited,GUJAPOLLO
551,Gujarat Gas Limited,GUJGASLTD
552,Gujarat Raffia Industries Limited,GUJRAFFIA
553,Gulf Oil Lubricants India Limited,GULFOILLUB
554,GP Petroleums Limited,GULFPETRO
555,Gulshan Polyols Limited,GULPOLY
556,GVK Power & Infrastructure Limited,GVKPIL
557,Hindustan Aeronautics Limited,HAL
558,Harita Seating Systems Limited,HARITASEAT
559,Harrisons Malayalam  Limited,HARRMALAYA
560,Hathway Cable & Datacom Limited,HATHWAY
561,Hatsun Agro Product Limited,HATSUN
562,Havells India Limited,HAVELLS
563,Sri Havisha Hospitality and Infrastructure Limited,HAVISHA
564,HBL Power Systems Limited,HBLPOWER
565,HB Stockholdings Limited,HBSL
566,Hindustan Construction Company Limited,HCC
567,Healthcare Global Enterprises Limited,HCG
568,HCL Infosystems Limited,HCL-INSYS
569,HCL Technologies Limited,HCLTECH
570,Housing Development Finance Corporation Limited,HDFC
571,HDFC Asset Management Company Limited,HDFCAMC
572,HDFC Bank Limited,HDFCBANK
573,HDFC Life Insurance Company Limited,HDFCLIFE
574,Housing Development and Infrastructure Limited,HDIL
575,HEG Limited,HEG
576,HeidelbergCement India Limited,HEIDELBERG
577,Hercules Hoists Limited,HERCULES
578,Heritage Foods Limited,HERITGFOOD
579,Hero MotoCorp Limited,HEROMOTOCO
580,Hester Biosciences Limited,HESTERBIO
581,Hexa Tradex Limited,HEXATRADEX
582,Hexaware Technologies Limited,HEXAWARE
583,HFCL Limited,HFCL
584,H.G. Infra Engineering Limited,HGINFRA
585,Hinduja Global Solutions Limited,HGS
586,Hikal Limited,HIKAL
587,HIL Limited,HIL
588,Hilton Metal Forging Limited,HILTON
589,Himatsingka Seide Limited,HIMATSEIDE
590,Hindalco Industries Limited,HINDALCO
591,Hindustan Composites Limited,HINDCOMPOS
592,Hindustan Copper Limited,HINDCOPPER
593,Hindustan Motors Limited,HINDMOTORS
594,Hindusthan National Glass & Industries Limited,HINDNATGLS
595,Hindustan Oil Exploration Company Limited,HINDOILEXP
596,Hindustan Petroleum Corporation Limited,HINDPETRO
597,Hind Syntex Limited,HINDSYNTEX
598,Hindustan Unilever Limited,HINDUNILVR
599,Hindustan Zinc Limited,HINDZINC
600,Hind Rectifiers Limited,HIRECT
601,Hisar Metal Industries Limited,HISARMETAL
602,Hi-Tech Pipes Limited,HITECH
603,Hitech Corporation Limited,HITECHCORP
604,The Hi-Tech Gears Limited,HITECHGEAR
605,HMT Limited,HMT
606,Hindustan Media Ventures Limited,HMVL
607,Hindustan Foods Limited,HNDFDS
608,Honeywell Automation India Limited,HONAUT
609,Honda Siel Power Products Limited,HONDAPOWER
610,Hotel Leela Venture Limited,HOTELEELA
611,Hotel Rugby Limited,HOTELRUGBY
612,HOV Services Limited,HOVS
613,HPL Electric & Power Limited,HPL
614,Himadri Speciality Chemical Limited,HSCL
615,HSIL Limited,HSIL
616,HT Media Limited,HTMEDIA
617,Hubtown Limited,HUBTOWN
618,Housing & Urban Development Corporation Limited,HUDCO
619,Indiabulls Real Estate Limited,IBREALEST
620,Indiabulls Housing Finance Limited,IBULHSGFIN
621,Indiabulls Integrated Services Limited,IBULISL
622,Indiabulls Ventures Limited,IBVENTURES
623,ICICI Bank Limited,ICICIBANK
624,ICICI Lombard General Insurance Company Limited,ICICIGI
625,ICICI Prudential Life Insurance Company Limited,ICICIPRULI
626,Indo Count Industries Limited,ICIL
627,ICRA Limited,ICRA
628,IDBI Bank Limited,IDBI
629,Vodafone Idea Limited,IDEA
630,IDFC Limited,IDFC
631,IDFC First Bank Limited,IDFCFIRSTB
632,Indian Energy Exchange Limited,IEX
